disease,description,precaution 1,precaution 2,precaution 3,min_age,max_age,sex_type,department
balanitis,Balanitis is inflammation of the glans penis. Balanoposthitis is the proper term when the foreskin is also affected. Balanitis in boys in diapers must be distinguished from redness caused by ammoniacal dermatitis.,Maintain proper genital hygiene,Keep area dry,Control diabetes if present,0,80,male,Urology
bell palsy,"Bell's palsy is a type of facial paralysis that results in a temporary inability to control the facial muscles on the affected side of the face. Symptoms may include facial weakness, drooping of the eyebrow, change in taste, ear pain, and hyperacusis. Most cases improve over weeks.",Start corticosteroids early (if prescribed),Protect eye with lubricating drops,Perform facial physiotherapy,10,80,both,Neurology
bipolar disorder,"Bipolar disorder is a mental disorder characterized by periods of depression and abnormally elevated mood (mania or hypomania), with possible impulsivity and sleep disturbance. It carries significant suicide risk.",Maintain regular sleep schedule,Adhere to mood stabilizers,Regular psychiatric follow-up,15,65,both,Psychiatry
benign prostatic hyperplasia (bph),"Benign prostatic hyperplasia is a noncancerous enlargement of the prostate gland causing urinary frequency, weak stream, difficulty starting urination, and possible urinary retention.",Limit evening fluid intake,Avoid decongestants,Regular urology evaluation,45,90,male,Urology
benign paroxysmal positional vertigo (bppv),"Benign paroxysmal positional vertigo is an inner ear disorder causing brief episodes of spinning sensation triggered by head movement, often lasting less than one minute and associated with nausea.",Perform Epley maneuver,Avoid sudden head movements,Vestibular rehabilitation exercises,20,85,both,ENT
blepharitis,"Blepharitis is inflammation of the eyelids characterized by redness, scaling, crusting, itching, and burning sensation. It may result from bacterial infection or meibomian gland dysfunction.",Daily eyelid hygiene,Warm compress application,Avoid eye makeup during flare,5,85,both,Ophthalmology
bronchitis,"Bronchitis is inflammation of the bronchi causing cough, sputum production, wheezing, shortness of breath, and chest discomfort. It may be acute or chronic.",Avoid smoking,Stay hydrated,Get influenza vaccination,0,85,both,Pulmonology
burn,"A burn is an injury to skin or tissues caused by heat, electricity, chemicals, friction, or radiation. Severity ranges from mild redness to deep tissue damage.",Cool burn with running water,Cover with sterile dressing,Seek medical care for deep burns,0,100,both,Emergency Medicine
bursitis,"Bursitis is inflammation of bursae causing pain, swelling, warmth, and reduced movement, commonly affecting shoulder, elbow, hip, or knee.",Rest affected joint,Apply ice packs,Avoid repetitive strain,20,85,both,Orthopedics
breast cyst,"A breast cyst is a fluid-filled sac within the breast, often described as a soft or firm lump with distinct edges.",Regular breast self-exam,Reduce caffeine intake,Ultrasound monitoring,18,55,female,Gynecology
cardiomyopathy,"Cardiomyopathy is a group of diseases of the heart muscle that may cause shortness of breath, fatigue, leg swelling, arrhythmias, or sudden cardiac death.",Limit alcohol intake,Regular cardiac evaluation,Control blood pressure,15,85,both,Cardiology
carpal tunnel syndrome,"Carpal tunnel syndrome is a nerve compression syndrome caused by compression of the median nerve at the wrist, leading to numbness, tingling, and weakness in the hand.",Use ergonomic wrist support,Take repetitive-motion breaks,Perform wrist exercises,20,75,both,Orthopedics
cataract,"A cataract is a cloudy area in the lens of the eye leading to decreased vision, blurred sight, glare sensitivity, and difficulty seeing at night.",Regular eye exams,Control diabetes,Protect eyes from UV light,50,100,both,Ophthalmology
celiac disease,"Celiac disease is a chronic autoimmune disease of the small intestine caused by immune reaction to gluten in wheat, barley, and rye.",Strict gluten-free diet,Monitor nutritional deficiencies,Regular gastro follow-up,1,80,both,Gastroenterology
cellulitis (oral abscess),"An abscess is a collection of pus within tissue caused by bacterial infection, presenting with redness, pain, warmth, and swelling.",Maintain oral hygiene,Complete antibiotic course,Seek drainage if needed,5,80,both,Dentistry / Oral Surgery
cervical spondylosis,"Cervical spondylosis is age-related degeneration of the cervical spine that may cause neck pain, stiffness, paresthesia, imbalance, or limb weakness.",Maintain proper posture,Neck strengthening exercises,Avoid prolonged screen time,35,85,both,Orthopedics
cervicitis,"Cervicitis is inflammation of the uterine cervix, often caused by infection or irritation.",Practice safe sex,Regular gynecological screening,Complete STI treatment,15,50,female,Gynecology
chickenpox,"Chickenpox is a highly contagious viral disease causing itchy blisters, fever, and fatigue.",Vaccination,Isolate infected individual,Keep nails trimmed to prevent scarring,0,15,both,Pediatrics
chikungunya,"Chikungunya is a viral infection transmitted by mosquitoes, causing fever and severe joint pain.",Prevent mosquito bites,Use repellents,Eliminate stagnant water,0,80,both,Infectious Disease
cholecystitis,"Cholecystitis is inflammation of the gallbladder causing right upper abdominal pain, nausea, vomiting, and sometimes fever.",Low-fat diet,Maintain healthy weight,Early surgical consultation if recurrent,20,80,both,General Surgery
cholera,Cholera is an infection of the small intestine causing severe watery diarrhea leading to dehydration.,Drink safe water,Proper sanitation,Oral rehydration therapy,0,80,both,Infectious Disease
chronic back pain,"Chronic back pain is pain in the back lasting more than three months, often characterized as dull, shooting, or burning.",Regular core exercises,Maintain proper posture,Avoid heavy lifting,18,90,both,Orthopedics
chronic kidney disease,Chronic kidney disease is long-term abnormal kidney function lasting at least three months and may lead to dialysis or transplantation.,Control blood sugar,Control blood pressure,Avoid nephrotoxic drugs,10,90,both,Nephrology
cirrhosis,"Cirrhosis is chronic liver disease where normal liver tissue is replaced by scar tissue, impairing liver function and causing portal hypertension.",Avoid alcohol,Hepatitis vaccination,Regular liver monitoring,15,80,both,Gastroenterology
common cold,"The common cold is a viral infection of the upper respiratory tract causing cough, runny nose, sore throat, and mild fever.",Hand hygiene,Adequate rest,Hydration,0,100,both,General Medicine
conjunctivitis,"Conjunctivitis is inflammation of the conjunctiva causing redness, itching, discharge, and tearing.",Avoid touching eyes,Maintain hand hygiene,Use prescribed drops,0,80,both,Ophthalmology
constipation,Constipation is infrequent or difficult bowel movement with hard stool and abdominal discomfort.,Increase fiber intake,Drink adequate water,Regular physical activity,0,90,both,Gastroenterology
contact dermatitis,"Contact dermatitis is inflammation of the skin caused by exposure to irritants or allergens, presenting with rash, itching, and redness.",Avoid triggering substance,Use protective gloves,Apply topical corticosteroids,0,80,both,Dermatology
copd,"Chronic obstructive pulmonary disease (COPD) is a progressive lung disease causing chronic cough, sputum production, and airflow limitation.",Stop smoking,Pulmonary rehabilitation,"Vaccination (flu, pneumococcal)",35,90,both,Pulmonology
corneal abrasion,"Corneal abrasion is a scratch on the surface of the cornea causing pain, redness, and light sensitivity.",Avoid rubbing eyes,Use protective eyewear,Apply prescribed antibiotic drops,2,80,both,Ophthalmology
crohn disease,"Crohn's disease is an inflammatory bowel disease affecting any part of the gastrointestinal tract causing abdominal pain, diarrhea, and weight loss.",Avoid trigger foods,Regular GI follow-up,Adhere to immunomodulatory therapy,10,70,both,Gastroenterology
croup,"Croup is a viral respiratory infection causing a barking cough, stridor, and hoarseness, usually in young children.",Humidified air,Keep child calm,Seek care if breathing worsens,0.5,6,both,Pediatrics
de quervain disease,"De Quervain syndrome or De Quervain tendinopathy occurs when two tendons that control movement of the thumb become enlarged where they pass through their tendon sheath in the wrist. The characteristic symptoms are pain and tenderness on the thumb side of the wrist. Radial abduction of the thumb is painful. On some occasions, there is uneven movement or triggering of the thumb and wrist. Symptoms can develop gradually or suddenly.",Avoid repetitive thumb movements,Use thumb spica splint,Apply NSAIDs as prescribed,20,60,both,Orthopedics
deafness,Deafness in medical context refers to hearing loss severe enough to impair understanding of spoken language. It may be congenital or acquired and varies in severity.,Early hearing screening,Avoid loud noise exposure,Use hearing aids/cochlear implants when indicated,0,100,both,ENT
decubitus ulcer,"Pressure ulcers, also known as pressure sores or bed sores, are localized damage to the skin and underlying tissue usually over bony prominences due to prolonged pressure, shear, or friction. Common sites include sacrum, heels, hips, elbows, and occiput.",Reposition every 2 hours,Use pressure-relieving mattress,Maintain skin hygiene and nutrition,50,100,both,Dermatology / Geriatrics
dementia,"Dementia is a progressive neurocognitive disorder characterized by decline in memory, thinking, behavior, and ability to perform daily activities. It is distinct from normal age-related cognitive decline.",Cognitive stimulation,Control vascular risk factors,Regular neurological follow-up,65,100,both,Neurology
dengue,"Dengue fever is a mosquito-borne viral disease common in tropical areas, presenting with high fever, headache, vomiting, muscle and joint pain, and rash. Severe cases may lead to bleeding and shock.",Prevent mosquito bites,Maintain hydration,Monitor platelet levels,0,80,both,Infectious Disease
dental caries,"Tooth decay, also known as caries, is the breakdown of teeth due to acids produced by bacteria, leading to cavities, pain, and possible abscess formation.",Brush twice daily with fluoride toothpaste,Limit sugary foods,Regular dental check-ups,1,90,both,Dentistry
depression,"Major depressive disorder is a mental disorder characterized by at least two weeks of pervasive low mood, low self-esteem, and loss of interest in pleasurable activities, causing significant functional impairment.",Cognitive behavioral therapy,Antidepressants as prescribed,Maintain regular sleep and exercise,12,80,both,Psychiatry
deviated nasal septum,"Nasal septum deviation is displacement of the nasal septum, which may cause nasal obstruction, difficulty breathing, snoring, or recurrent sinus infections.",Avoid nasal trauma,Use saline nasal spray,Surgical correction if severe,5,70,both,ENT
diabetes mellitus,"Diabetes mellitus is a group of endocrine diseases characterized by sustained high blood sugar levels due to insulin deficiency or resistance, leading to long-term complications affecting eyes, kidneys, nerves, and heart.",Monitor blood glucose regularly,Follow diabetic diet,Regular exercise,10,90,both,Endocrinology
diabetic ketoacidosis,"Diabetic ketoacidosis (DKA) is a life-threatening acute complication of diabetes characterized by vomiting, abdominal pain, deep breathing, fruity breath odor, confusion, and possible coma.",Do not skip insulin,Monitor blood sugar during illness,Seek emergency care if symptomatic,5,60,both,Emergency Medicine
diabetic peripheral neuropathy,"Diabetic peripheral neuropathy is nerve damage associated with diabetes, causing numbness, tingling, pain, or weakness, commonly in the feet and hands.",Strict glucose control,Daily foot inspection,Wear protective footwear,25,80,both,Neurology
diverticulitis,"Diverticulitis is inflammation of diverticula in the colon causing sudden lower abdominal pain, fever, nausea, and bowel habit changes.",High-fiber diet after recovery,Adequate hydration,Seek care if fever persists,30,85,both,Gastroenterology
dry eye syndrome,"Dry eye disease is a condition of insufficient tear production or excessive tear evaporation causing irritation, burning, redness, and foreign body sensation.",Use artificial tears,Limit screen time,Increase indoor humidity,20,90,both,Ophthalmology
dysentery,"Dysentery is a form of gastroenteritis causing bloody diarrhea, abdominal pain, and fever, potentially leading to dehydration.",Drink safe water,Maintain hand hygiene,Oral rehydration therapy,0,80,both,Infectious Disease
eating disorder,"An eating disorder is a mental disorder defined by abnormal eating behaviors that adversely affect a person's physical or mental health. Types include binge eating disorder, anorexia nervosa, bulimia nervosa, pica, rumination syndrome, and ARFID. Anxiety, depression, and substance abuse are common comorbidities.",Early psychological intervention,Nutritional rehabilitation,Regular psychiatric follow-up,10,50,both,Psychiatry
eczema,"Dermatitis is a term used for different types of skin inflammation, typically characterized by itchiness, redness, and rash. In short duration there may be blisters; in long-term cases the skin may become thickened. Eczema commonly refers to atopic dermatitis.",Regular moisturizing,Avoid known allergens,Use topical steroids as prescribed,0,80,both,Dermatology
endometriosis,"Endometriosis is a disease in which tissue similar to the lining of the uterus grows outside the uterus, commonly on ovaries or fallopian tubes, causing pelvic pain and infertility.",Early gynecological evaluation,Hormonal therapy if prescribed,Pain management strategies,15,45,female,Gynecology
epididymitis,"Epididymitis is inflammation of the epididymis causing gradual onset scrotal pain, swelling, burning urination, and possible fever.",Safe sexual practices,Complete antibiotic course,Avoid heavy lifting during recovery,15,60,male,Urology
epilepsy,"Epilepsy is a neurological disorder characterized by recurrent, unprovoked seizures due to abnormal electrical activity in the brain.",Adhere to antiepileptic medication,Avoid sleep deprivation,Avoid alcohol triggers,0,80,both,Neurology
erectile dysfunction,Erectile dysfunction is a condition characterized by the persistent inability to achieve or maintain an erection sufficient for satisfactory sexual activity.,Control diabetes and hypertension,Regular physical activity,Avoid smoking and alcohol excess,30,85,male,Urology
esophagitis,"Esophagitis is inflammation of the esophagus, often caused by acid reflux, infection, or medication injury.",Avoid spicy and acidic foods,Elevate head during sleep,Use proton pump inhibitors if prescribed,15,80,both,Gastroenterology
strabismus,Strabismus is an eye disorder in which the eyes do not properly align when looking at an object. It may be constant or intermittent and can lead to amblyopia in children or double vision in adults.,Early vision screening,Corrective glasses,Surgical correction if needed,0,40,both,Ophthalmology
deep vein thrombosis(dvt)," is the formation of a blood clot in a deep vein, commonly in the legs, which may cause swelling, pain, and risk of pulmonary embolism.",Avoid prolonged immobility,Use compression stockings,Anticoagulation as prescribed,20,90,both,Internal Medicine
fibroadenoma,"Fibroadenomas are benign breast tumours characterized by an admixture of stromal and epithelial tissue developing from the lobules, forming a solid, mobile lump in the breast.",Regular breast self-exam,Ultrasound monitoring,Surgical removal if enlarging,15,45,female,Breast Surgery
fibrocystic breast disease,"Fibrocystic breast changes is a condition where there may be breast pain, cysts, and lumpy breast tissue, often worsening during parts of the menstrual cycle due to hormonal stimulation. These are normal breast changes and not associated with cancer.",Reduce caffeine intake,Wear supportive bra,Regular clinical breast exam,20,50,female,Gynecology
fibromyalgia,"Fibromyalgia is a long-term health condition characterized by widespread chronic pain along with fatigue, cognitive disturbance, unrefreshing sleep, abdominal cramps, depression, or headache. The exact cause remains unclear.",Regular low-impact exercise,Stress management therapy,Sleep hygiene maintenance,20,65,both,Rheumatology
influenza ,"Influenza is an infectious disease caused by influenza viruses. Symptoms include fever, sore throat, runny nose, muscle pain, headache, cough, and fatigue. Symptoms begin one to four days after exposure and last two to eight days. Complications may include pneumonia or worsening of pre-existing conditions.",Annual influenza vaccination,Adequate hydration and rest,Early antiviral therapy if high risk,0,90,both,General Medicine
folate deficiency,"Folate deficiency is a low level of vitamin B9 resulting in megaloblastic anemia. Symptoms may include fatigue, palpitations, shortness of breath, irritability, and during pregnancy may increase risk of neural tube defects.",Folate-rich diet,Prenatal supplementation,Limit alcohol intake,1,80,both,Internal Medicine
food allergy,"A food allergy is an abnormal immune response to food, causing symptoms such as itching, swelling, vomiting, hives, breathing difficulty, or low blood pressure. Severe cases result in anaphylaxis.",Avoid trigger foods,Carry epinephrine auto-injector,Read food labels carefully,0,70,both,Allergy & Immunology
fungal infection (skin),"Fungal infection (mycosis) is a disease caused by fungi. Superficial infections affect skin, presenting as red, itchy, scaly rashes such as tinea (ringworm).",Keep affected area dry,Use topical antifungals,Avoid sharing personal items,2,80,both,Dermatology
fungal infection of hair,"Dermatophytosis of the hair is a fungal infection affecting the scalp and hair shafts, causing itchy, scaly patches and hair loss.",Antifungal shampoo,Oral antifungals if prescribed,Avoid sharing combs,2,15,both,Dermatology
frostbite,"Frostbite is injury to skin or tissue caused by freezing, commonly affecting fingers, toes, ears, nose, and cheeks. Skin may appear pale, numb, or waxy, with possible blistering after rewarming.",Avoid prolonged cold exposure,Wear insulated protective clothing,Gradual rewarming with warm water,5,80,both,Emergency Medicine
gallstone,A gallstone is a stone formed within the gallbladder from precipitated bile components. Cholelithiasis refers to the presence of gallstones; choledocholithiasis refers to migrated gallstones within bile ducts.,Maintain healthy weight,Avoid rapid weight loss,Limit high-fat diet,20,80,both,Gastroenterology
gastroenteritis,"Gastroenteritis is inflammation of the stomach and intestine, commonly presenting with diarrhea, vomiting, abdominal pain, fever, and dehydration. It usually lasts less than two weeks.",Oral rehydration therapy,Hand hygiene,Safe food and water intake,0,80,both,General Medicine
gastroparesis,Gastroparesis is a disorder of ineffective stomach contractions resulting in delayed gastric emptying and prolonged retention of food.,Small frequent meals,Strict glucose control in diabetics,Avoid high-fat meals,20,80,both,Gastroenterology
genital herpes,"Genital herpes is a herpes simplex virus infection of the genitals. When symptomatic, it includes painful blisters that form ulcers and may be accompanied by flu-like symptoms.",Use condoms,Avoid sexual contact during outbreaks,Antiviral therapy as prescribed,15,50,both,Dermatology / STI Clinic
gerd,"Gastroesophageal reflux disease (GERD) is a chronic condition where stomach contents flow back into the esophagus, causing heartburn, regurgitation, chest discomfort, cough, or hoarseness.",Avoid late-night meals,Elevate head during sleep,Limit spicy and acidic foods,10,80,both,Gastroenterology
gestational diabetes,"Gestational diabetes is high blood sugar that develops during pregnancy in individuals without prior diabetes. It may increase risk of macrosomia, neonatal hypoglycemia, and future type 2 diabetes.",Monitor blood glucose regularly,Follow pregnancy-specific diet plan,Regular obstetric follow-up,18,45,female,Obstetrics & Gynecology
glaucoma,"Glaucoma is a group of eye diseases that damage the optic nerve, often due to increased intraocular pressure, and may cause gradual vision loss if untreated.",Regular eye pressure screening,Adhere to prescribed eye drops,Control blood pressure and diabetes,40,90,both,Ophthalmology
goiter,"A goiter is swelling in the neck due to enlargement of the thyroid gland and may be associated with normal, increased, or decreased thyroid function.",Ensure adequate iodine intake,Thyroid function testing,Avoid unnecessary iodine excess,5,80,both,Endocrinology
gonorrhea,"Gonorrhea is a sexually transmitted infection caused by Neisseria gonorrhoeae that can infect the genitals, rectum, or throat.",Use condoms consistently,Complete antibiotic therapy,Screen sexual partners,15,50,both,STI Clinic
gout,"Gout is an inflammatory arthritis characterized by sudden, severe pain in a red, hot, swollen joint due to uric acid crystal deposition, often affecting the big toe.",Limit purine-rich foods,Maintain healthy weight,Take urate-lowering therapy if prescribed,30,80,both,Rheumatology
graves disease,"Graves' disease is an autoimmune disease affecting the thyroid, commonly causing hyperthyroidism with symptoms such as weight loss, heat intolerance, rapid heartbeat, and eye bulging.",Regular thyroid monitoring,Antithyroid medication adherence,Avoid excessive iodine intake,15,60,both,Endocrinology
gynecomastia,Gynecomastia is benign enlargement of male breast tissue due to hormonal imbalance between estrogens and androgens.,Weight management,Review medications,Endocrine evaluation if persistent,10,70,male,Endocrinology
hashimoto thyroiditis,"Hashimoto's thyroiditis, also known as chronic lymphocytic thyroiditis, Hashimoto's disease and autoimmune thyroiditis, is an autoimmune disease in which the thyroid gland is gradually destroyed.",Regular thyroid function testing,Take levothyroxine as prescribed,Monitor for hypothyroid symptoms,15,70,both,Endocrinology
hay fever,"Allergic rhinitis, of which the seasonal type is called hay fever, is a type of inflammation in the nose that occurs when the immune system overreacts to allergens in the air. Signs and symptoms include runny nose, sneezing, red, itchy watery eyes, and swelling around the eyes.",Avoid allergen exposure,Use antihistamines as directed,Nasal saline irrigation,5,60,both,Allergy & Immunology
heart failure,"Heart failure (HF), also known as congestive heart failure (CHF), is a syndrome caused by impairment in the heart's ability to fill with and pump blood.",Limit salt intake,Monitor daily weight,Adhere to prescribed heart medications,50,90,both,Cardiology
heat exhaustion,"Heat exhaustion is a heat-related illness characterized by inability to effectively cool the body, with symptoms such as sweating, dizziness, weakness, nausea, and dehydration.",Stay hydrated,Avoid peak sun exposure,Rest in cool environment,5,80,both,General Medicine
hemorrhoids,"Hemorrhoids, also known as piles, are vascular structures in the anal canal that become swollen or inflamed. Internal hemorrhoids cause painless rectal bleeding; external hemorrhoids cause pain and swelling.",Increase dietary fiber,Avoid prolonged straining,Use topical treatments as advised,20,80,both,Gastroenterology
hepatitis a,"Hepatitis A is an infectious liver disease caused by Hepatitis A virus (HAV). Symptoms may include nausea, vomiting, diarrhea, jaundice, fever, and abdominal pain.",Vaccination,Safe food and water practices,Proper hand hygiene,0,70,both,Infectious Disease
hepatitis b,Hepatitis B is an infectious disease caused by the hepatitis B virus (HBV) that affects the liver; it can cause acute or chronic infection.,HBV vaccination,Safe sexual practices,Avoid needle sharing,0,80,both,Infectious Disease
hepatitis c,Hepatitis C is an infectious disease caused by the hepatitis C virus (HCV) that primarily affects the liver and may become chronic.,Avoid needle sharing,Screen high-risk individuals,Antiviral therapy adherence,18,80,both,Infectious Disease
herpes zoster,"Shingles, also known as herpes zoster, is a viral disease characterized by a painful localized rash with blisters, sometimes followed by postherpetic neuralgia.",Shingles vaccination,Early antiviral therapy,Pain management,50,90,both,Dermatology
hiatal hernia,"A hiatal hernia is a condition where abdominal organs slip through the diaphragm into the chest, often causing reflux symptoms.",Avoid large meals,Elevate head during sleep,Maintain healthy weight,30,80,both,Gastroenterology
hidradenitis suppurativa,"Hidradenitis suppurativa is a chronic dermatological condition characterized by painful inflamed lumps in areas such as underarms and groin, often leading to scarring.",Maintain hygiene,Weight management,Avoid tight clothing,15,50,both,Dermatology
high blood pressure,"Hypertension is a long-term medical condition in which blood pressure in the arteries is persistently elevated and increases risk of stroke, heart disease, kidney disease, and dementia.",Reduce salt intake,Regular BP monitoring,Regular exercise,30,90,both,Cardiology
hyperlipidemia,Hyperlipidemia is abnormally high levels of lipids or lipoproteins in the blood and is usually chronic.,Reduce saturated fat intake,Regular lipid profile testing,Statin therapy if prescribed,30,90,both,Cardiology
hyperhidrosis,Hyperhidrosis is a condition characterized by excessive sweating beyond what is required for body temperature regulation.,Use clinical antiperspirants,Avoid trigger foods,Consider medical therapy if severe,10,60,both,Dermatology
hypoglycemia,"Hypoglycemia is a fall in blood sugar below normal, typically below 70 mg/dL, causing symptoms such as shakiness, confusion, sweating, or seizures.",Regular meal timing,Monitor blood glucose,Adjust diabetes medication appropriately,0,80,both,Endocrinology
dysmenorrhea,"Dysmenorrhea, also known as period pain, painful periods or menstrual cramps, is pain during menstruation. Its usual onset occurs around the time that menstruation begins. Symptoms typically last less than three days. The pain is usually in the pelvis or lower abdomen. Other symptoms may include back pain, diarrhea or nausea.",Use NSAIDs as directed,Apply local heat therapy,Regular physical activity,12,45,female,Obstetrics & Gynecology
abnormal uterine bleeding,"Abnormal uterine bleeding is vaginal bleeding from the uterus that is abnormally frequent, lasts excessively long, is heavier than normal, or is irregular. Quality of life may be negatively affected.",Maintain menstrual diary,Avoid unsupervised hormonal use,Prompt gynecologic consultation,13,50,female,Obstetrics & Gynecology
impetigo,"Impetigo is a contagious bacterial infection that involves the superficial skin. The most common presentation is yellowish crusts on the face, arms, or legs. Less commonly there may be large blisters which affect the groin or armpits.",Maintain skin hygiene,Avoid scratching lesions,Complete prescribed antibiotics,1,12,both,Dermatology
irritable bowel syndrome,"Irritable bowel syndrome (IBS) is a functional gastrointestinal disorder characterized by abdominal pain, bloating, and altered bowel habits.",High-fiber diet (if tolerated),Stress management,Avoid trigger foods,15,65,both,Gastroenterology
jaundice,"Jaundice is a yellowish pigmentation of the skin and sclera due to high bilirubin levels. Associated symptoms may include itchiness, pale feces, and dark urine.",Avoid alcohol,Liver function evaluation,Vaccination for hepatitis (if appropriate),0,90,both,Gastroenterology
juvenile rheumatoid arthritis,"Juvenile idiopathic arthritis is the most common chronic rheumatic disease of childhood, referring to arthritis before 16 years of age.",Regular rheumatology follow-up,Physical therapy,Adhere to prescribed medication,1,16,both,Rheumatology
kidney stone,"Kidney stone disease or urinary stone disease is a crystallopathy that occurs when there is an excess of minerals in the urine and not enough liquid or hydration. This imbalance causes tiny pieces of crystal to aggregate and form hard masses (stones) in the urinary tract. Stones larger than 5 mm may cause severe lower back pain radiating to the groin, blood in urine, vomiting, or painful urination.",Increase daily fluid intake (>2–3L),Reduce high-oxalate and high-salt diet,Avoid dehydration,20,75,both,Urology
lactose intolerance,"Lactose intolerance is caused by a lessened ability or complete inability to digest lactose, a sugar found in dairy products. Symptoms include abdominal pain, bloating, diarrhea, flatulence, and nausea after consuming lactose-containing foods. It does not cause damage to the gastrointestinal tract.",Avoid lactose-containing foods,Use lactase enzyme supplements,Choose lactose-free dairy alternatives,5,80,both,Gastroenterology
laryngitis,"Laryngitis is inflammation of the larynx. Symptoms often include a hoarse voice to no voice at all and may include fever, cough, pain in the front of the neck, and trouble swallowing. Typically these last under 2 weeks.",Voice rest,Avoid smoking and irritants,Adequate hydration,5,70,both,ENT
lichen planus,"Lichen planus (LP) is a chronic inflammatory and autoimmune disease affecting skin, nails, hair, and mucous membranes. It is characterized by flat-topped, violaceous papules and plaques. The cause is unknown but thought to be autoimmune.",Avoid skin trauma,Use prescribed corticosteroids,Regular dermatology follow-up,20,60,both,Dermatology
lyme disease,"Lyme disease is a tick-borne disease caused by Borrelia bacteria. Symptoms may include fever, fatigue, headache, and a characteristic skin rash. Early detection and prompt antibiotic treatment lead to favorable outcomes.",Remove ticks promptly,Wear protective clothing outdoors,Early antibiotic therapy if diagnosed,5,70,both,Infectious Disease
macular degeneration,Macular degeneration is a medical condition which may result in blurred or no vision in the center of the visual field. Early on there are often no symptoms; later gradual worsening of vision may occur.,Regular eye exams,Avoid smoking,Control blood pressure,55,95,both,Ophthalmology
malaria,"Malaria is a mosquito-borne infectious disease transmitted by Anopheles mosquitoes. Symptoms include fever, fatigue, vomiting, and headaches. Severe cases can cause jaundice, seizures, coma, or death.",Use insecticide-treated nets,Prompt antimalarial treatment,Mosquito bite prevention,0,70,both,Infectious Disease
mastitis,"Mastitis is inflammation of the breast, usually associated with breastfeeding. Symptoms include breast pain, redness, fever, and general soreness.",Continue breastfeeding/pumping,Warm compress,Complete antibiotics if prescribed,18,45,female,Obstetrics & Gynecology
measles,"Measles is a highly contagious, vaccine-preventable infectious disease caused by measles virus.",MMR vaccination,Isolate infected individuals,Vitamin A supplementation (children),0,15,both,Pediatrics
meniere disease,"Ménière's disease is a disorder of the inner ear characterized by episodes of vertigo, tinnitus, hearing loss, and ear fullness.",Low-sodium diet,Avoid caffeine and alcohol,Vestibular rehabilitation,20,60,both,ENT
migraine,"Migraine is a neurological disorder characterized by episodes of moderate-to-severe headache, often unilateral and associated with nausea and light sensitivity.",Avoid known triggers,Maintain regular sleep schedule,Use triptans/NSAIDs as prescribed,10,60,both,Neurology
