Symptom,Synonym
asymmetry,facial imbalance
asymmetry,body imbalance
asymmetry,structural imbalance
asymmetry,uneven structure
asymmetry,disproportion
asymmetry,uneven alignment
avoidance behavior,social withdrawal
avoidance behavior,evasive behavior
avoidance behavior,withdrawal tendency
avoidance behavior,escape behavior
avoidance behavior,situation avoidance
avoidance behavior,fear avoidance
avoidance behavior,behavioral withdrawal
avoidance behavior,isolation behavior
back pain,spinal pain
back pain,dorsal pain
back pain,lumbar pain
back pain,backache
back pain,spine ache
back pain,lower backache
back pain,upper backache
back pain,back soreness
bad breath,foul breath
bad breath,halitosis
bad breath,oral odor
bad breath,mouth odor
bad breath,unpleasant breath
bad breath,fetid breath
bad breath,breath odor
bad breath,stale breath
bad foot odor,smelly feet
bad foot odor,foot smell
bad foot odor,foot stench
bad foot odor,foot malodor
bad foot odor,sweaty foot odor
bad foot odor,unpleasant foot smell
bad foot odor,foot odor problem
bad foot odor,foul foot smell
balance problem,unsteady gait
balance problem,loss balance
balance problem,instability
balance problem,disequilibrium
balance problem,poor balance
balance problem,balance disturbance
balance problem,postural instability
balance problem,equilibrium loss
band like pain,tight pressure pain
band like pain,constricting pain
band like pain,squeezing pain
band like pain,encircling pain
band like pain,tightness pain
band like pain,pressure band pain
band like pain,wrapping pain
band like pain,compressive pain
barking cough,croup cough
barking cough,seal cough
barking cough,harsh cough
barking cough,brassy cough
barking cough,loud cough
barking cough,hoarse cough
barking cough,dry harsh cough
barking cough,stridor cough
belching,burping
belching,eructation
belching,gas expulsion
belching,air release
belching,gastric belch
belching,stomach burp
belching,gas burp
belching,frequent burping
binge eating,compulsive eating
binge eating,overeating episodes
binge eating,excessive eating
binge eating,uncontrolled eating
binge eating,eating binges
binge eating,food overconsption
binge eating,recurrent overeating
binge eating,eating excess
black stools,tarry stools
black stools,dark stools
black stools,melena
black stools,black feces
black stools,tar colored stool
black stools,pitch stools
black stools,dark bowel movement
black stools,tarry bowel
blackheads,open comedones
blackheads,clogged pores
blackheads,dark comedones
blackheads,pore plugs
blackheads,skin plugs
blackheads,comedonal acne
blackheads,follicle plugs
blackheads,oxidized plugs
blind spot,scotoma
blind spot,vision gap
blind spot,visual gap
blind spot,sight void
blind spot,field defect
blind spot,vision deficit
blind spot,dark spot vision
blind spot,visual blind area
bloated abdomen,abdominal distention
bloated abdomen,swollen belly
bloated abdomen,abdominal swelling
bloated abdomen,distended abdomen
bloated abdomen,enlarged belly
bloated abdomen,puffy abdomen
bloated abdomen,stomach distention
bloated abdomen,abdominal fullness
bloating,abdominal bloating
bloating,stomach fullness
bloating,gas buildup
bloating,gastric fullness
bloating,abdominal pressure
bloating,stomach swelling
bloating,gas retention
bloating,digestive fullness
blood in stool,rectal bleeding
blood in stool,bloody stools
blood in stool,stool bleeding
blood in stool,fecal blood
blood in stool,hematochezia
blood in stool,bloody bowel movement
blood in stool,red stool
blood in stool,stool blood
blood in urine,hematuria
blood in urine,urinary bleeding
blood in urine,bloody urine
blood in urine,urine discoloration
blood in urine,red urine
blood in urine,urine blood
blood in urine,urinary blood
blood in urine,pink urine
blurred vision,hazy vision
blurred vision,unclear vision
blurred vision,vision fuzziness
blurred vision,reduced clarity
blurred vision,visual blurring
blurred vision,dim vision
blurred vision,impaired sight
blurred vision,sight distortion
blurry center vision,central blur
blurry center vision,central vision loss
blurry center vision,macular blur
blurry center vision,central haziness
blurry center vision,distorted center vision
blurry center vision,central sight blur
blurry center vision,blurred central field
blurry center vision,focal blur
body aches,generalized pain
body aches,muscle soreness
body aches,diffuse pain
body aches,whole body pain
body aches,systemic ache
body aches,muscular discomfort
body aches,widespread soreness
body aches,total body ache
body image concern,appearance worry
body image concern,self image issue
body image concern,appearance dissatisfaction
body image concern,physique concern
body image concern,body perception issue
body image concern,self appearance anxiety
body image concern,image distress
body image concern,cosmetic concern
body jerking,muscle twitching
body jerking,involuntary movements
body jerking,myoclonic jerks
body jerking,sudden spasms
body jerking,muscle jolts
body jerking,convulsive movement
body jerking,jerky motions
body jerking,spasm episodes
bone fracture,broken bone
bone fracture,skeletal break
bone fracture,hairline fracture
bone fracture,stress fracture
bone fracture,bone crack
bone fracture,compound fracture
bone fracture,bone split
bone fracture,bone breakage
bone fragility,brittle bones
bone fragility,weak bones
bone fragility,skeletal weakness
bone fragility,reduced bone density
bone fragility,fragile skeleton
bone fragility,porous bones
bone fragility,bone weakness
bone fragility,low bone mass
bone pain,skeletal pain
bone pain,deep bone ache
bone pain,osseous pain
bone pain,skeletal ache
bone pain,deep ache
bone pain,bone soreness
bone pain,limb bone pain
bone pain,bone discomfort
bone tenderness,skeletal tenderness
bone tenderness,bone soreness
bone tenderness,osseous tenderness
bone tenderness,skeletal soreness
bone tenderness,localized bone pain
bone tenderness,bone sensitivity
bone tenderness,tender bones
bone tenderness,bone touch pain
brain fog,mental cloudiness
brain fog,cognitive haze
brain fog,mental fatigue
brain fog,reduced clarity
brain fog,concentration difficulty
brain fog,thinking slowdown
brain fog,mental dullness
brain fog,cognitive sluggishness
breast asymmetry,uneven breasts
breast asymmetry,breast imbalance
breast asymmetry,unequal breasts
breast asymmetry,breast size difference
breast asymmetry,asymmetrical breasts
breast asymmetry,uneven bust
breast asymmetry,breast disproportion
breast asymmetry,breast unevenness
breast fullness,breast heaviness
breast fullness,breast swelling
breast fullness,breast engorgement
breast fullness,breast tightness
breast fullness,breast distension
breast fullness,breast pressure
breast fullness,breast enlargement
breast fullness,mammary fullness
breast lump,breast mass
breast lump,breast nodule
breast lump,mammary mass
breast lump,breast growth
breast lump,palpable mass
breast lump,breast swelling mass
breast lump,chest lump
breast lump,breast thickening
breast pain,mastalgia
breast pain,mammary pain
breast pain,chest breast pain
breast pain,breast tenderness pain
breast pain,cyclic mastalgia
breast pain,noncyclic mastalgia
breast pain,breast ache
breast pain,mammary discomfort
breast redness,breast erythema
breast redness,mammary redness
breast redness,red breast skin
breast redness,inflamed breast skin
breast redness,breast skin flushing
breast redness,localized breast redness
breast redness,breast skin irritation
breast redness,reddened breast
breast soreness,breast tenderness
breast soreness,mammary soreness
breast soreness,breast sensitivity
breast soreness,chest soreness
breast soreness,tender breast tissue
breast soreness,breast discomfort
breast soreness,painful breasts
breast soreness,mammary tenderness
breast swelling,mammary swelling
breast swelling,swollen breasts
breast swelling,breast enlargement
breast swelling,breast inflammation
breast swelling,engorged breasts
breast swelling,breast puffiness
breast swelling,breast edema
breast swelling,inflamed breasts
breathing pauses,apnea episodes
breathing pauses,sleep apnea
breathing pauses,respiratory pauses
breathing pauses,breath holding spells
breathing pauses,intermittent apnea
breathing pauses,paused respiration
breathing pauses,halted breathing
breathing pauses,breathing interruptions
breathing trouble,shortness of breath
breathing trouble,breathlessness
breathing trouble,difficulty breathing
breathing trouble,hard to breathe
breathing trouble,labored breathing
breathing trouble,breathing difficulty
breathing trouble,air hunger
breathing trouble,cannot catch breath
breathing trouble,tight breathing
breathing trouble,struggling to breathe
brief vertigo,transient vertigo
brief vertigo,sudden dizziness
brief vertigo,short dizziness
brief vertigo,episodic vertigo
brief vertigo,momentary spinning
brief vertigo,positional vertigo
brief vertigo,fleeting dizziness
brief vertigo,transient spinning
broken hairs,hair breakage
broken hairs,brittle hair
broken hairs,hair snapping
broken hairs,fractured strands
broken hairs,damaged hair shafts
broken hairs,split strands
broken hairs,fragile hair
broken hairs,hair fragmentation
bruise easily,easy bruising
bruise easily,frequent bruising
bruise easily,bruise tendency
bruise easily,increased bruising
bruise easily,skin bruising tendency
bruise easily,spontaneous bruising
bruise easily,bruise susceptibility
bruise easily,minor trauma bruising
bullseye rash,target lesion
bullseye rash,target shaped rash
bullseye rash,ring shaped rash
bullseye rash,concentric rash
bullseye rash,erythema migrans
bullseye rash,circular red rash
bullseye rash,expanding ring rash
bullseye rash,central clearing rash
burning anus,anal burning
burning anus,rectal burning
burning anus,perianal irritation
burning anus,anal heat sensation
burning anus,rectal irritation
burning anus,anal stinging
burning anus,perianal discomfort
burning anus,anal soreness
burning eyes,eye irritation
burning eyes,ocular burning
burning eyes,eye stinging
burning eyes,eye discomfort
burning eyes,irritated eyes
burning eyes,eye heat sensation
burning eyes,ocular irritation
burning eyes,eye inflammation
burning feet,foot burning
burning feet,hot feet sensation
burning feet,foot heat pain
burning feet,plantar burning
burning feet,fiery feet
burning feet,foot tingling heat
burning feet,neuropathic foot pain
burning feet,warm feet pain
burning sensation,stinging feeling
burning sensation,heat sensation
burning sensation,scalding feeling
burning sensation,fiery feeling
burning sensation,prickling heat
burning sensation,thermal discomfort
burning sensation,hot painful feeling
burning sensation,searing feeling
burning skin,skin irritation
burning skin,skin heat
burning skin,skin inflammation
burning skin,skin stinging
burning skin,hot skin feeling
burning skin,cutaneous irritation
burning skin,skin discomfort
burning skin,dermal burning
burning urination,dysuria
burning urination,painful urination
burning urination,urinary burning
burning urination,urination discomfort
burning urination,painful voiding
burning urination,urinary stinging
burning urination,micturition pain
burning urination,urethral pain
burrow lines,skin burrows
burrow lines,scabies tracks
burrow lines,serpiginous lines
burrow lines,linear skin tunnels
burrow lines,mite tracks
burrow lines,wavy skin lines
burrow lines,epidermal tunnels
burrow lines,crawling marks
calf pain,lower leg pain
calf pain,calf ache
calf pain,posterior leg pain
calf pain,calf soreness
calf pain,leg muscle pain
calf pain,gastrocnemius pain
calf pain,calf cramp
calf pain,lower leg ache
central vision loss,macular vision loss
central vision loss,central sight loss
central vision loss,macular degeneration symptom
central vision loss,focal vision loss
central vision loss,loss central sight
central vision loss,diminished central vision
central vision loss,central field loss
central vision loss,impaired central sight
changing vision,vision changes
changing vision,fluctuating vision
changing vision,variable eyesight
changing vision,shifting vision
changing vision,altered vision
changing vision,unstable vision
changing vision,inconsistent vision
changing vision,visual fluctuations
chest burning,thoracic burning
chest burning,retrosternal burning
chest burning,chest heat sensation
chest burning,substernal burning
chest burning,burning thorax
chest burning,anterior chest burning
chest burning,chest stinging
chest burning,chest heat pain
chest congestion,chest fullness
chest congestion,mucus buildup chest
chest congestion,phlegm in chest
chest congestion,congested chest
chest congestion,lung congestion
chest congestion,airway congestion
chest congestion,chest blockage
chest congestion,chest mucus
chest discomfort,thoracic discomfort
chest discomfort,substernal discomfort
chest discomfort,anterior chest discomfort
chest discomfort,thoracic unease
chest discomfort,chest uneasiness
chest discomfort,retrosternal discomfort
chest discomfort,chest irritation
chest discomfort,thoracic distress
chest pain,thoracic pain
chest pain,substernal pain
chest pain,retrosternal pain
chest pain,anterior chest pain
chest pain,cardiac pain
chest pain,pleuritic pain
chest pain,thoracic ache
chest pain,sharp chest pain
chest pressure,chest heaviness
chest pressure,thoracic pressure
chest pressure,substernal pressure
chest pressure,chest squeezing
chest pressure,chest compression
chest pressure,tight chest feeling
chest pressure,heavy chest sensation
chest pressure,pressing chest pain
chest tightness,thoracic tightness
chest tightness,tight chest
chest tightness,chest constriction
chest tightness,chest squeezing sensation
chest tightness,restricted chest feeling
chest tightness,chest rigidity
chest tightness,constricted chest
chest tightness,chest stiffness
chills,shivering
chills,cold shivers
chills,shaking chills
chills,cold tremors
chills,rigors
chills,trembling cold
chills,cold sensation
chills,shuddering
choking sensation,throat tightness
choking sensation,suffocation feeling
choking sensation,airway obstruction feeling
choking sensation,throat constriction
choking sensation,smothering sensation
choking sensation,gagging feeling
choking sensation,breathing blockage
choking sensation,throat closing feeling
chronic cough,persistent cough
chronic cough,long lasting cough
chronic cough,ongoing cough
chronic cough,prolonged coughing
chronic cough,continuous cough
chronic cough,recurring cough
chronic cough,lingering cough
chronic cough,sustained cough
chronic diarrhea,persistent diarrhea
chronic diarrhea,long term diarrhea
chronic diarrhea,ongoing loose stools
chronic diarrhea,prolonged diarrhea
chronic diarrhea,continuous diarrhea
chronic diarrhea,frequent loose stools
chronic diarrhea,recurrent diarrhea
chronic diarrhea,sustained diarrhea
clogged pores,blocked pores
clogged pores,obstructed pores
clogged pores,pore blockage
clogged pores,follicle blockage
clogged pores,skin pore obstruction
clogged pores,plugged pores
clogged pores,pore congestion
clogged pores,comedone formation
clots passage,passing blood clots
clots passage,clot expulsion
clots passage,clot discharge
clots passage,clot elimination
clots passage,expelling clots
clots passage,clot shedding
clots passage,clot release
clots passage,blood clot passage
cloudy urine,turbid urine
cloudy urine,murky urine
cloudy urine,hazy urine
cloudy urine,opaque urine
cloudy urine,milky urine
cloudy urine,urine turbidity
cloudy urine,sedimented urine
cloudy urine,unclear urine
cold fingers,finger coldness
cold fingers,chilled fingers
cold fingers,icy fingers
cold fingers,finger pallor
cold fingers,numb cold fingers
cold fingers,frosty fingers
cold fingers,reduced finger warmth
cold fingers,finger chill
cold hands,hand coldness
cold hands,chilled hands
cold hands,icy hands
cold hands,hand pallor
cold hands,numb cold hands
cold hands,frosty hands
cold hands,reduced hand warmth
cold hands,hand chill
cold intolerance,intolerance to cold
cold intolerance,cold sensitivity
cold intolerance,excessive cold sensitivity
cold intolerance,hypersensitivity cold
cold intolerance,poor cold tolerance
cold intolerance,cold hypersensitivity
cold intolerance,heightened cold response
cold intolerance,cold susceptibility
color fading,color loss
color fading,pigment loss
color fading,skin depigmentation
color fading,discoloration
color fading,fading pigmentation
color fading,loss pigmentation
color fading,washed out color
color fading,reduced coloration
compulsive behaviors,repetitive behaviors
compulsive behaviors,obsessive actions
compulsive behaviors,ritualistic actions
compulsive behaviors,uncontrollable habits
compulsive behaviors,repetitive acts
compulsive behaviors,driven behaviors
compulsive behaviors,behavioral compulsions
compulsive behaviors,habitual rituals
concentration difficulty,poor concentration
concentration difficulty,attention problems
concentration difficulty,focus issues
concentration difficulty,reduced attention
concentration difficulty,distractibility
concentration difficulty,impaired focus
concentration difficulty,attention deficit
concentration difficulty,difficulty focusing
confusion,mental confusion
confusion,cognitive confusion
confusion,altered awareness
confusion,mental disarray
confusion,clouded thinking
confusion,impaired understanding
confusion,bewilderment
constipation,hard stools
constipation,infrequent stools
constipation,difficult defecation
constipation,bowel blockage
constipation,stool retention
constipation,sluggish bowels
constipation,reduced bowel movement
constipation,fecal retention
continuous sneezing,persistent sneezing
continuous sneezing,frequent sneezing
continuous sneezing,repeated sneezing
continuous sneezing,nonstop sneezing
continuous sneezing,ongoing sneezing
continuous sneezing,recurrent sneezing
continuous sneezing,excessive sneezing
continuous sneezing,prolonged sneezing
cracked skin,skin fissures
cracked skin,dry fissured skin
cracked skin,split skin
cracked skin,chapped skin
cracked skin,skin cracks
cracked skin,rough broken skin
cracked skin,peeling fissures
cracked skin,skin splitting
crackling sound,popping sound
crackling sound,rattling noise
crackling sound,crepitus
crackling sound,snapping sound
crackling sound,clicking noise
crackling sound,crackle noise
crackling sound,joint popping
crackling sound,grinding sound
crusted lashes,eyelash crusting
crusted lashes,eyelid crusting
crusted lashes,lash debris
crusted lashes,eyelid discharge crust
crusted lashes,sticky lashes
crusted lashes,dried eye discharge
crusted lashes,matted lashes
crusted lashes,lash buildup
crusted spots,scabbed spots
crusted spots,crusted lesions
crusted spots,scaly crusts
crusted spots,dried lesions
crusted spots,scab formations
crusted spots,crust patches
crusted spots,hardened scabs
crusted spots,skin crusting
cyst swelling,cyst enlargement
cyst swelling,cyst inflammation
cyst swelling,swollen cyst
cyst swelling,cystic mass
cyst swelling,fluid filled lump
cyst swelling,cyst expansion
cyst swelling,raised cyst
cyst swelling,cyst growth
dark neck skin,neck hyperpigmentation
dark neck skin,neck discoloration
dark neck skin,neck darkening
dark neck skin,pigmented neck
dark neck skin,neck skin darkening
dark neck skin,velvety neck skin
dark neck skin,neck skin pigmentation
dark neck skin,neck melanin buildup
dark spot,hyperpigmented spot
dark spot,pigmented lesion
dark spot,skin blemish
dark spot,brown patch
dark spot,melanotic spot
dark spot,skin discoloration
dark spot,age spot
dark spot,sun spot
dark urine,concentrated urine
dark urine,tea colored urine
dark urine,amber urine
dark urine,cola colored urine
dark urine,brown urine
dark urine,urine discoloration
dark urine,highly pigmented urine
dark urine,deep yellow urine
daytime sleepiness,excessive sleepiness
daytime sleepiness,hypersomnia
daytime sleepiness,persistent drowsiness
daytime sleepiness,daytime drowsiness
daytime sleepiness,sleepiness during day
daytime sleepiness,fatigue daytime
daytime sleepiness,constant sleepiness
daytime sleepiness,somnolence
dehydration,fluid loss
dehydration,body fluid deficit
dehydration,low body fluids
dehydration,inadequate hydration
dehydration,volume depletion
dehydration,water depletion
dehydration,severe dryness
dehydration,hypohydration
delayed response,slow reaction
delayed response,sluggish response
delayed response,response latency
delayed response,reduced responsiveness
delayed response,slowed reply
delayed response,reaction delay
delayed response,impaired response
delayed response,response slowing
delusions,false beliefs
delusions,fixed false ideas
delusions,psychotic beliefs
delusions,paranoid beliefs
delusions,irrational beliefs
delusions,distorted beliefs
delusions,grandiose beliefs
delusions,persecutory beliefs
depressed mood,low mood
depressed mood,persistent sadness
depressed mood,feeling down
depressed mood,emotional low
depressed mood,sadness
depressed mood,mood decline
depressed mood,hopeless feeling
depressed mood,gloomy mood
difficulty chewing,chewing trouble
difficulty chewing,impaired mastication
difficulty chewing,painful chewing
difficulty chewing,reduced chewing ability
difficulty chewing,chewing discomfort
difficulty chewing,weak bite
difficulty chewing,mastication problem
difficulty chewing,trouble biting
difficulty conceiving,infertility
difficulty conceiving,subfertility
difficulty conceiving,conception problems
difficulty conceiving,reduced fertility
difficulty conceiving,inability conceive
difficulty conceiving,fertility issues
difficulty conceiving,trouble conceiving
difficulty conceiving,impaired fertility
difficulty speaking,speech difficulty
difficulty speaking,impaired speech
difficulty speaking,speech impairment
difficulty speaking,trouble talking
difficulty speaking,expressive difficulty
difficulty speaking,reduced speech
difficulty speaking,speaking problem
difficulty speaking,speech disturbance
difficulty swallowing,dysphagia
difficulty swallowing,swallowing problem
difficulty swallowing,impaired swallowing
difficulty swallowing,painful swallowing
difficulty swallowing,trouble swallowing
difficulty swallowing,swallowing discomfort
difficulty swallowing,reduced swallowing
difficulty swallowing,deglutition difficulty
discharge,fluid discharge
discharge,secretion
discharge,exudate
discharge,oozing
discharge,bodily discharge
discharge,abnormal secretion
discharge,fluid leakage
discharge,purulent secretion
discolored nails,nail discoloration
discolored nails,nail pigmentation
discolored nails,yellow nails
discolored nails,darkened nails
discolored nails,stained nails
discolored nails,nail color change
discolored nails,abnormal nail color
discolored nails,pale nails
disorganized speech,incoherent speech
disorganized speech,illogical speech
disorganized speech,fragmented speech
disorganized speech,confused speech
disorganized speech,jumbled speech
disorganized speech,tangential speech
disorganized speech,rambling speech
disorganized speech,thought disorder speech
disorientation,spatial confusion
disorientation,temporal confusion
disorientation,loss orientation
disorientation,confused awareness
disorientation,impaired orientation
disorientation,altered orientation
disorientation,orientation deficit
disorientation,mental disorientation
distorted lines,wavy lines
distorted lines,bent lines
distorted lines,warped lines
distorted lines,curved lines vision
distorted lines,visual distortion
distorted lines,irregular lines
distorted lines,line deformation
distorted lines,crooked lines
dizziness,lightheadedness
dizziness,vertigo
dizziness,giddiness
dizziness,faint feeling
dizziness,spinning sensation
dizziness,wooziness
dizziness,loss balance
dizziness,unsteadiness
dizziness on turning,positional vertigo
dizziness on turning,turning induced vertigo
dizziness on turning,head movement dizziness
dizziness on turning,motion triggered vertigo
dizziness on turning,rotation related dizziness
dizziness on turning,movement related vertigo
dizziness on turning,head turn giddiness
dizziness on turning,positional spinning
double vision,diplopia
double vision,visual doubling
double vision,seeing double
double vision,binocular diplopia
double vision,image duplication
double vision,split vision
double vision,dual vision
double vision,overlapping images
drooling,excessive salivation
drooling,saliva leakage
drooling,hypersalivation
drooling,saliva overflow
drooling,uncontrolled salivation
drooling,saliva dripping
drooling,oral fluid leakage
drooling,salivary excess
dry cough,nonproductive cough
dry cough,hacking cough
dry cough,irritating cough
dry cough,tickling cough
dry cough,unproductive cough
dry cough,persistent dry cough
dry cough,throat clearing cough
dry cough,chest tickle cough
dry mouth,xerostomia
dry mouth,mouth dryness
dry mouth,oral dryness
dry mouth,decreased saliva
dry mouth,parched mouth
dry mouth,reduced salivation
dry mouth,sticky mouth
dry mouth,mouth dehydration
dry patches,scaly patches
dry patches,flaky patches
dry patches,skin scaling
dry patches,desquamated areas
dry patches,peeling patches
dry patches,xerotic patches
dry patches,cracked patches
dry skin,xerosis
dry skin,skin dryness
dry skin,rough skin
dry skin,flaky skin
dry skin,dehydrated skin
dry skin,scaly skin
dry skin,chapped skin
dry skin,skin roughness
ear discharge,otorrhea
ear discharge,ear drainage
ear discharge,aural discharge
ear discharge,ear fluid
ear discharge,ear secretion
ear discharge,purulent ear fluid
ear discharge,ear oozing
ear discharge,ear leakage
ear fullness,ear pressure
ear fullness,aural fullness
ear fullness,ear blockage
ear fullness,ear congestion
ear fullness,ear stuffiness
ear fullness,plugged ear feeling
ear fullness,ear tightness
ear fullness,ear heaviness
ear pain,otalgia
ear pain,earache
ear pain,aural pain
ear pain,ear soreness
ear pain,inner ear pain
ear pain,ear discomfort
ear pain,ear inflammation pain
ear pain,sharp ear pain
early ejaculation,premature ejaculation
early ejaculation,rapid ejaculation
early ejaculation,quick climax
early ejaculation,early climax
early ejaculation,uncontrolled ejaculation
early ejaculation,rapid climax
early ejaculation,shortened latency
early ejaculation,ejaculation control problem
early fullness,early satiety
early fullness,premature fullness
early fullness,quick satiety
early fullness,rapid fullness
early fullness,feeling full quickly
early fullness,postmeal fullness
early fullness,decreased stomach capacity
early fullness,satiety after small meal
easy bruising,frequent bruising
easy bruising,increased bruising
easy bruising,bruise tendency
easy bruising,spontaneous bruising
easy bruising,bruise susceptibility
easy bruising,minor trauma bruising
easy bruising,skin bruise tendency
easy bruising,excessive bruising
elevated blood pressure,hypertension
elevated blood pressure,high blood pressure
elevated blood pressure,raised pressure
elevated blood pressure,increased arterial pressure
elevated blood pressure,systemic hypertension
elevated blood pressure,high systolic pressure
elevated blood pressure,high diastolic pressure
elevated blood pressure,blood pressure elevation
enlarged breasts,breast enlargement
enlarged breasts,gynecomastia
enlarged breasts,increased breast size
enlarged breasts,breast hypertrophy
enlarged breasts,mammary enlargement
enlarged breasts,breast overgrowth
enlarged breasts,breast swelling
enlarged breasts,enlarged mammary tissue
enlarged spleen,splenomegaly
enlarged spleen,spleen enlargement
enlarged spleen,splenic enlargement
enlarged spleen,swollen spleen
enlarged spleen,increased spleen size
enlarged spleen,splenic swelling
enlarged spleen,palpable spleen
enlarged spleen,spleen hypertrophy
erection difficulty,erectile dysfunction
erection difficulty,impotence
erection difficulty,weak erection
erection difficulty,inability maintain erection
erection difficulty,reduced erectile function
erection difficulty,poor erection
erection difficulty,erection problems
erection difficulty,erectile impairment
excess facial hair,facial hirsutism
excess facial hair,unwanted facial hair
excess facial hair,increased facial hair
excess facial hair,facial hair overgrowth
excess facial hair,thick facial hair
excess facial hair,abnormal facial hair
excess facial hair,facial hair excess
excess facial hair,androgenic hair growth
excessive sweating,hyperhidrosis
excessive sweating,profuse sweating
excessive sweating,heavy perspiration
excessive sweating,over sweating
excessive sweating,abnormal sweating
excessive sweating,intense perspiration
excessive sweating,uncontrolled sweating
excessive sweating,persistent sweating
excessive tearing,watery eyes
excessive tearing,tear overproduction
excessive tearing,epiphora
excessive tearing,eye watering
excessive tearing,tear overflow
excessive tearing,constant tearing
excessive tearing,tear excess
excessive tearing,lacrimal overactivity
excessive thirst,polydipsia
excessive thirst,extreme thirst
excessive thirst,constant thirst
excessive thirst,intense thirst
excessive thirst,persistent thirst
excessive thirst,abnormal thirst
excessive thirst,unquenchable thirst
excessive thirst,increased fluid intake
eye burning,ocular burning
eye burning,eye stinging
eye burning,burning sensation eyes
eye burning,eye heat sensation
eye burning,ocular irritation
eye burning,eye discomfort
eye burning,irritated eyes
eye burning,eye inflammation
eye discharge,ocular discharge
eye discharge,eye drainage
eye discharge,eye secretion
eye discharge,purulent eye fluid
eye discharge,sticky eye discharge
eye discharge,eye oozing
eye discharge,conjunctival discharge
eye discharge,eye exudate
eye dryness,ocular dryness
eye dryness,dry eyes
eye dryness,tear deficiency
eye dryness,reduced tear production
eye dryness,eye dehydration
eye dryness,gritty eyes
eye dryness,lacrimal deficiency
eye dryness,dry eye syndrome
eye irritation,ocular irritation
eye irritation,irritated eyes
eye irritation,eye discomfort
eye irritation,eye redness discomfort
eye irritation,conjunctival irritation
eye irritation,scratchy eyes
eye irritation,eye inflammation
eye irritation,eye sensitivity
eye misalignment,strabismus
eye misalignment,ocular misalignment
eye misalignment,crossed eyes
eye misalignment,wandering eye
eye misalignment,eye deviation
eye misalignment,ocular deviation
eye misalignment,squint
eye misalignment,misaligned gaze
eye pain,ocular pain
eye pain,eye ache
eye pain,sharp eye pain
eye pain,eye soreness
